file, ra, dec, redshift,survey, dropped, continuum, classification, delta_BIC, outflow, fit_fail, hit_limit, nburst_file, error message
spec-015039-59201-7575027764.fits, 1.6427713664833163, -0.0858575060248648, -0.0008123182342387736, sdss, 0, 1, 0, 9999, 0, 1, 0, none, [ERROR] Halpha BL not significantly detected
desiSp1d_24376-thru20211117-483.fits, 2.0657233550530805, 2.2275942229451693, 0.27989658331779793, desi, 0, 1, 0, 9999, 0, 1, 0, none, [ERROR] No input spectrum found
spec-104645-59934-27021600790827350.fits, 18.97082874611715, 0.4737709250235885, 0.01674286648631096, sdss, 0, 1, 0, 9999, 0, 1, 0, none, [ERROR] nan Halpha flux
desiSp1d_24185-thru20211219-417.fits, 22.87519796108785, 0.6377250690704663, 0.11829590683123804, desi, 0, 1, 0, 9999, 0, 1, 0, none, [ERROR] No input spectrum found
spec-0662-52147-0125.fits, 23.24550356922481, -10.451999793761972, 0.032219137996435165, sdss, 0, 1, 1, 6.107387670265439, 1, 0, 0, /Users/f007znp/Research/pro/trial4/SDSS_BOSS/out_/nbursts_sdss_00662_52147_00125.fits, 
desiSp1d_20686-thru20211119-1391.fits, 28.145386672781, -13.793779627929013, 0.16835371419372056, desi, 0, 1, 1, 55.996359717278665, 1, 0, 0, /Users/f007znp/Research/pro/trial4/DESI/out_/nbursts_desi_20686_20211119_1391.fits, 
desiSp1d_20670-thru20211220-1978.fits, 29.519823467162382, -0.8727831075257322, 0.08065440389945273, desi, 0, 1, 0, 9999, 0, 1, 0, none, [ERROR] Halpha BL not significantly detected
desiSp1d_80605-thru20210205-2268.fits, 36.13007942206707, -4.292129567638189, 0.17829879893817763, desi, 0, 1, 0, 9999, 0, 1, 0, none, [ERROR] Halpha BL not significantly detected
spec-104567-59957-27021600075368277.fits, 37.27376168134458, 0.3535170969978625, -0.002529693068936467, sdss, 0, 1, 0, 9999, 0, 1, 0, none, [ERROR] no NBURSTS file found. Searched for []
spec-104594-59846-27021599887158863.fits, 40.15631596387578, -8.332533136517409, 0.005661611445248127, sdss, 0, 1, 0, 9999, 0, 1, 0, none, [ERROR] nan Halpha flux
