file,classification,fit flag
../../pro/SDSS_BOSS/scripttest/100433/nbursts_sdss_100433_60070_27021598154927734.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/10268/nbursts_sdss_10268_58487_00490.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/2288/nbursts_sdss_02288_53699_00520.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/5059/nbursts_sdss_05059_56190_00277.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/1432/nbursts_sdss_01432_53003_00519.fits,narrow,False
../../pro/SDSS_BOSS/scripttest/100068/nbursts_sdss_100068_60087_27021598764937986.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/2085/nbursts_sdss_02085_53379_00157.fits,broad,True
../../pro/SDSS_BOSS/scripttest/5402/nbursts_sdss_05402_55927_00575.fits,broad,True
../../pro/SDSS_BOSS/scripttest/338/nbursts_sdss_00338_51694_00480.fits,broad,True
../../pro/SDSS_BOSS/scripttest/101182/nbursts_sdss_101182_60062_27021597843496766.fits,narrow,False
../../pro/SDSS_BOSS/scripttest/101182/nbursts_sdss_101182_60016_27021597843823378.fits,broad,False
../../pro/SDSS_BOSS/scripttest/15174/nbursts_sdss_15174_59284_00000.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/15174/nbursts_sdss_15174_59232_00000.fits,broad,True
../../pro/SDSS_BOSS/scripttest/15346/nbursts_sdss_15346_59307_00000.fits,broad,True
../../pro/SDSS_BOSS/scripttest/5854/nbursts_sdss_05854_56035_00372.fits,narrow,False
../../pro/SDSS_BOSS/scripttest/102355/nbursts_sdss_102355_60036_27021598158072152.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/907/nbursts_sdss_00907_52373_00325.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/5291/nbursts_sdss_05291_55947_00661.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/15348/nbursts_sdss_15348_59293_00000.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/6874/nbursts_sdss_06874_56550_00902.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/102997/nbursts_sdss_102997_59678_27021597913785884.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/102997/nbursts_sdss_102997_59678_27021601710739691.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/15323/nbursts_sdss_15323_59351_00000.fits,broad,False
../../pro/SDSS_BOSS/scripttest/1450/nbursts_sdss_01450_53120_00353.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/20833/nbursts_sdss_020833_59637_27021597919670199.fits,broad,True
../../pro/SDSS_BOSS/scripttest/701/nbursts_sdss_00701_52179_00288.fits,narrow,False
../../pro/SDSS_BOSS/scripttest/2226/nbursts_sdss_02226_53819_00606.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/1457/nbursts_sdss_01457_53116_00236.fits,broad,True
../../pro/SDSS_BOSS/scripttest/1457/nbursts_sdss_01457_53116_00490.fits,broad,False
../../pro/SDSS_BOSS/scripttest/1201/nbursts_sdss_01201_52674_00163.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/1201/nbursts_sdss_01201_52674_00093.fits,broad,True
../../pro/SDSS_BOSS/scripttest/10656/nbursts_sdss_10656_58163_00223.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/10656/nbursts_sdss_10656_58163_00258.fits,broad,True
../../pro/SDSS_BOSS/scripttest/6476/nbursts_sdss_06476_56358_00921.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/8371/nbursts_sdss_08371_57751_00609.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/354/nbursts_sdss_00354_51792_00147.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/8385/nbursts_sdss_08385_57511_00232.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/1806/nbursts_sdss_01806_53559_00381.fits,broad,False
../../pro/SDSS_BOSS/scripttest/102337/nbursts_sdss_102337_60067_27021598726461200.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/102337/nbursts_sdss_102337_60067_27021598726459560.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/1654/nbursts_sdss_01654_53498_00574.fits,broad,False
../../pro/SDSS_BOSS/scripttest/1654/nbursts_sdss_01654_53498_00539.fits,broad,False
../../pro/SDSS_BOSS/scripttest/398/nbursts_sdss_00398_51789_00464.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/398/nbursts_sdss_00398_51789_00383.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/398/nbursts_sdss_00398_51789_00436.fits,broad,False
../../pro/SDSS_BOSS/scripttest/15127/nbursts_sdss_15127_59188_00000.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/2025/nbursts_sdss_02025_53431_00007.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/2025/nbursts_sdss_02025_53431_00011.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/2217/nbursts_sdss_02217_53794_00488.fits,broad,False
../../pro/SDSS_BOSS/scripttest/101317/nbursts_sdss_101317_60108_27021597909148580.fits,broad,True
../../pro/SDSS_BOSS/scripttest/4980/nbursts_sdss_04980_56048_00314.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/1608/nbursts_sdss_01608_53138_00636.fits,broad,False
../../pro/SDSS_BOSS/scripttest/101945/nbursts_sdss_101945_59888_27021600416944242.fits,broad,True
../../pro/SDSS_BOSS/scripttest/102996/nbursts_sdss_102996_59952_27021597911693643.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/561/nbursts_sdss_00561_52295_00129.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/561/nbursts_sdss_00561_52295_00252.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/2880/nbursts_sdss_02880_54509_00316.fits,broad,False
../../pro/SDSS_BOSS/scripttest/101183/nbursts_sdss_101183_59658_27021597843319921.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/2245/nbursts_sdss_02245_54208_00467.fits,broad,True
../../pro/SDSS_BOSS/scripttest/104630/nbursts_sdss_104630_59902_27021600066730977.fits,narrow,False
../../pro/SDSS_BOSS/scripttest/5864/nbursts_sdss_05864_56047_00554.fits,broad,True
../../pro/SDSS_BOSS/scripttest/2289/nbursts_sdss_02289_53708_00617.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/100056/nbursts_sdss_100056_60083_27021598737537034.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/5403/nbursts_sdss_05403_55979_00606.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/5403/nbursts_sdss_05403_55979_00032.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/937/nbursts_sdss_00937_52707_00566.fits,broad,True
../../pro/SDSS_BOSS/scripttest/1601/nbursts_sdss_01601_53115_00526.fits,broad,True
../../pro/SDSS_BOSS/scripttest/1433/nbursts_sdss_01433_53035_00302.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/1265/nbursts_sdss_01265_52705_00144.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/1265/nbursts_sdss_01265_52705_00148.fits,narrow,False
../../pro/SDSS_BOSS/scripttest/2440/nbursts_sdss_02440_53818_00139.fits,broad,False
../../pro/SDSS_BOSS/scripttest/6014/nbursts_sdss_06014_56072_00554.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/1231/nbursts_sdss_01231_52725_00497.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/1231/nbursts_sdss_01231_52725_00228.fits,broad,False
../../pro/SDSS_BOSS/scripttest/101124/nbursts_sdss_101124_59954_27021597907907341.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/2229/nbursts_sdss_02229_53823_00346.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/2229/nbursts_sdss_02229_53823_00020.fits,broad,False
../../pro/SDSS_BOSS/scripttest/352/nbursts_sdss_00352_51694_00362.fits,broad,False
../../pro/SDSS_BOSS/scripttest/736/nbursts_sdss_00736_52210_00419.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/2211/nbursts_sdss_02211_53786_00637.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/1209/nbursts_sdss_01209_52674_00473.fits,narrow,False
../../pro/SDSS_BOSS/scripttest/355/nbursts_sdss_00355_51788_00195.fits,broad,True
../../pro/SDSS_BOSS/scripttest/355/nbursts_sdss_00355_51788_00486.fits,broad,True
../../pro/SDSS_BOSS/scripttest/1699/nbursts_sdss_01699_53148_00164.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/1699/nbursts_sdss_01699_53148_00493.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/1699/nbursts_sdss_01699_53148_00498.fits,narrow,False
../../pro/SDSS_BOSS/scripttest/102931/nbursts_sdss_102931_59953_27021597914517931.fits,broad,True
../../pro/SDSS_BOSS/scripttest/2015/nbursts_sdss_02015_53819_00233.fits,narrow,False
../../pro/SDSS_BOSS/scripttest/2015/nbursts_sdss_02015_53819_00249.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/2227/nbursts_sdss_02227_53820_00531.fits,broad,True
../../pro/SDSS_BOSS/scripttest/3930/nbursts_sdss_03930_55332_00722.fits,broad,False
../../pro/SDSS_BOSS/scripttest/104655/nbursts_sdss_104655_59878_27021597940699420.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/104655/nbursts_sdss_104655_59827_27021597940699022.fits,broad,True
../../pro/SDSS_BOSS/scripttest/6680/nbursts_sdss_06680_56420_00262.fits,narrow,False
../../pro/SDSS_BOSS/scripttest/955/nbursts_sdss_00955_52409_00466.fits,broad,True
../../pro/SDSS_BOSS/scripttest/1451/nbursts_sdss_01451_53117_00431.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/390/nbursts_sdss_00390_51816_00447.fits,broad,True
../../pro/SDSS_BOSS/scripttest/102909/nbursts_sdss_102909_59973_27021597918957144.fits,broad,True
../../pro/SDSS_BOSS/scripttest/5980/nbursts_sdss_05980_56338_00160.fits,broad,True
../../pro/SDSS_BOSS/scripttest/15250/nbursts_sdss_15250_59267_00000.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/1381/nbursts_sdss_01381_53089_00238.fits,broad,True
../../pro/SDSS_BOSS/scripttest/827/nbursts_sdss_00827_52312_00211.fits,broad,True
../../pro/SDSS_BOSS/scripttest/447/nbursts_sdss_00447_51877_00469.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/5987/nbursts_sdss_05987_56339_00226.fits,broad,False
../../pro/SDSS_BOSS/scripttest/1386/nbursts_sdss_01386_53116_00352.fits,narrow,False
../../pro/SDSS_BOSS/scripttest/2503/nbursts_sdss_02503_53856_00086.fits,broad,True
../../pro/SDSS_BOSS/scripttest/15065/nbursts_sdss_15065_59386_00000.fits,narrow,True
